Number of CPU,Check available CPU and limit,Load Model,Prepare data,Run Inference,Inference per Image,Total Time,Batch size,Number of SM
2,3.1948089599609375e-05,9.624435901641846,1.037574291229248,0.00863938331604,0.00431969165802,11.761712551116943,2,72
4,4.744529724121094e-05,5.064579486846924,0.7995254993438721,0.0077566146850585,0.0038783073425292,6.096721172332764,2,72
8,6.4849853515625e-05,4.855307817459106,0.8277742862701416,0.0077550172805786,0.0038775086402893,5.88330602645874,2,72
16,3.886222839355469e-05,4.920354127883911,0.8076679706573486,0.0078260660171508,0.0039130330085754,5.943681001663208,2,72
32,0.0001056194305419,5.0449538230896,0.7692561149597168,0.0082472324371337,0.0041236162185668,6.034391164779663,2,72
48,0.0001323223114013,4.951536655426025,0.8582775592803955,0.007783555984497,0.0038917779922485,6.008918285369873,2,72
2,0.00018310546875,5.376637935638428,1.2739999294281006,0.0089190483093261,0.0022297620773315,6.983695030212402,4,72
4,4.267692565917969e-05,4.7012248039245605,0.9895782470703124,0.0081060409545898,0.0020265102386474,5.899681091308594,4,72
8,3.981590270996094e-05,4.843851327896118,0.9607806205749512,0.0080444812774658,0.0020111203193664,6.0269615650177,4,72
16,4.434585571289063e-05,4.998098134994507,1.0629501342773438,0.0083074331283569,0.0020768582820892,6.277099609375,4,72
32,0.0001046657562255,5.149066686630249,1.1462759971618652,0.0079195737838745,0.0019798934459686,6.516212463378906,4,72
48,9.751319885253906e-05,5.035294055938721,1.1172370910644531,0.0080603122711181,0.0020150780677795,6.380630493164063,4,72
2,0.0001814365386962,4.967464685440064,1.540886640548706,0.0119360208511352,0.0014920026063919,6.877666473388672,8,72
4,4.315376281738281e-05,4.8874192237854,1.4296681880950928,0.0120073795318603,0.0015009224414825,6.580420732498169,8,72
8,4.076957702636719e-05,4.828656911849976,1.3715956211090088,0.0119457721710205,0.0014932215213775,6.495851755142212,8,72
16,4.1961669921875e-05,4.767671346664429,1.3919050693511963,0.0120088815689086,0.0015011101961135,6.413423776626587,8,72
32,6.604194641113281e-05,4.75166392326355,1.423938512802124,0.0119585514068603,0.0014948189258575,6.420920372009277,8,72
48,7.104873657226562e-05,4.598465442657471,1.276667833328247,0.0119949102401733,0.0014993637800216,6.125532627105713,8,72
2,0.0002312660217285,5.4033637046813965,2.435194969177246,0.0198310613632202,0.0012394413352012,8.273134708404541,16,72
4,3.981590270996094e-05,5.143560409545898,2.4742798805236816,0.0203316926956176,0.0012707307934761,7.975526809692383,16,72
8,4.076957702636719e-05,4.932161331176758,2.243960380554199,0.0205624818801879,0.0012851551175117,7.525229692459106,16,72
16,4.792213439941406e-05,4.676181077957153,2.2169013023376465,0.0205389261245727,0.0012836828827857,7.249532461166382,16,72
32,6.437301635742188e-05,4.690814256668091,2.187403678894043,0.0205711603164672,0.0012856975197792,7.227230310440063,16,72
48,0.0001137256622314,4.897024393081665,2.1625349521636963,0.020395803451538,0.0012747377157211,7.416588306427002,16,72
2,0.0001721382141113,5.264835834503174,4.318292617797852,0.0358718395233154,0.0011209949851036,10.21373414993286,32,72
4,3.838539123535156e-05,4.8122031688690186,3.733236789703369,0.0363550186157226,0.0011360943317413,9.082678079605104,32,72
8,4.100799560546875e-05,4.841055631637573,4.118170738220215,0.0357826709747314,0.0011182084679603,9.480642557144163,32,72
16,4.220008850097656e-05,5.054776668548584,3.8526647090911865,0.0360718011856079,0.0011272437870502,9.447835683822632,32,72
32,7.081031799316406e-05,4.699342966079712,3.7413206100463854,0.0346486806869506,0.0010827712714672,8.963253259658813,32,72
48,7.462501525878906e-05,4.754859447479248,3.820455551147461,0.036055302619934,0.0011267282068729,9.099469184875488,32,72
2,0.0001282691955566,5.241487979888916,7.604547739028931,0.0658925771713256,0.0010295715183019,13.75154423713684,64,72
4,3.552436828613281e-05,4.668696403503418,6.975509643554688,0.0657558679580688,0.0010274354368448,12.497732639312744,64,72
8,3.838539123535156e-05,4.678180456161499,7.166609525680542,0.0660809278488159,0.0010325144976377,12.707156658172607,64,72
16,3.790855407714844e-05,4.930904388427734,7.489888191223144,0.0786517143249511,0.0012289330363273,13.396378993988035,64,72
32,0.0001006126403808,4.986240386962891,6.891412734985352,0.0661919593811035,0.0010342493653297,12.746949195861816,64,72
48,9.012222290039062e-05,4.715747117996216,6.948647499084473,0.0658902883529663,0.001029535755515,12.53128719329834,64,72
2,0.0001428127288818,5.228122711181641,13.81908392906189,0.128906100988388,0.0010070789139717,20.35513377189636,128,72
