Number of CPU,Check available CPU and limit,Load Model,Prepare data,Run Inference,Inference per Image,Total Time,Batch size,Number of SM
8,3.552436828613281e-05,0.0240781307220459,0.0582678318023681,0.0293117046356201,0.007327926158905,0.3760647773742676,4,50
16,3.886222839355469e-05,0.0240397453308105,0.0513484477996826,0.0293977737426757,0.0073494434356689,0.3699920177459717,4,50
32,4.124641418457031e-05,0.023496389389038,0.053225040435791,0.0294788122177124,0.0073697030544281,0.3721492290496826,4,50
48,4.0531158447265625e-05,0.0227842330932617,0.0527713298797607,0.0292411088943481,0.007310277223587,0.3685991764068603,4,50
2,3.3855438232421875e-05,0.023991584777832,0.0582435131072998,0.0548365592956543,0.0068545699119567,0.6317791938781738,8,50
4,3.695487976074219e-05,0.0245749950408935,0.0602240562438964,0.0546099662780761,0.0068262457847595,0.6316335201263428,8,50
8,4.076957702636719e-05,0.0243096351623535,0.0585477352142334,0.0546941995620727,0.006836774945259,0.6304798126220703,8,50
16,3.8623809814453125e-05,0.0239796638488769,0.0584704875946044,0.0545845508575439,0.0068230688571929,0.6289823055267334,8,50
32,4.267692565917969e-05,0.0239217281341552,0.0557813644409179,0.05461266040802,0.0068265825510025,0.6264998912811279,8,50
48,4.6253204345703125e-05,0.0240135192871093,0.0585284233093261,0.0546426773071289,0.0068303346633911,0.6296734809875488,8,50
2,3.337860107421875e-05,0.0242495536804199,0.058892011642456,0.052474170923233,0.003279635682702,0.5036094188690186,16,50
4,3.62396240234375e-05,0.0240564346313476,0.0585229396820068,0.0525566339492797,0.0032847896218299,0.5037031173706055,16,50
8,3.8623809814453125e-05,0.0250220298767089,0.0603444576263427,0.0527428984642028,0.0032964311540126,0.5082950592041016,16,50
16,3.9577484130859375e-05,0.0242409706115722,0.0585997104644775,0.0521261692047119,0.0032578855752944,0.5005538463592529,16,50
32,4.6253204345703125e-05,0.0243523120880126,0.0585081577301025,0.0520854592323303,0.0032553412020206,0.5002803802490234,16,50
48,4.649162292480469e-05,0.0242571830749511,0.0583891868591308,0.0520835816860199,0.0032552238553762,0.5000181198120117,16,50
2,3.4809112548828125e-05,0.0240499973297119,0.0587537288665771,0.3021400570869446,0.009441876783967,1.2920477390289309,32,50
4,3.3855438232421875e-05,0.0243639945983886,0.0588269233703613,0.3011977076530456,0.0094124283641576,1.2886760234832764,32,50
8,3.552436828613281e-05,0.0241026878356933,0.0531840324401855,0.3025009632110595,0.0094531551003456,1.2879767417907717,32,50
16,3.767013549804688e-05,0.0242156982421875,0.0586638450622558,0.3056201934814453,0.0095506310462951,1.3065049648284912,32,50
32,4.38690185546875e-05,0.0248177051544189,0.0592966079711914,0.3034276962280273,0.0094821155071258,1.2985801696777344,32,50
48,4.792213439941406e-05,0.0243964195251464,0.0587711334228515,0.3033317327499389,0.0094791166484355,1.2972030639648438,32,50
2,3.4332275390625e-05,0.023538589477539,0.0542078018188476,0.2200145721435547,0.003437727689743,0.5187253952026367,64,50
4,3.409385681152344e-05,0.023395299911499,0.0577709674835205,0.2323691844940185,0.003630768507719,0.5468084812164307,64,50
8,3.838539123535156e-05,0.0241990089416503,0.0604987144470214,0.2322601079940796,0.0036290641874074,0.549882173538208,64,50
16,3.4809112548828125e-05,0.0242643356323242,0.0589299201965332,0.2320880889892578,0.0036263763904571,0.5480391979217529,64,50
32,4.0531158447265625e-05,0.0245356559753417,0.0586512088775634,0.2323178052902221,0.0036299657076597,0.5484662055969238,64,50
48,4.434585571289063e-05,0.0241956710815429,0.0589537620544433,0.2318081855773925,0.0036220028996467,0.5474350452423096,64,50
2,0.0002059936523437,4.690464496612549,0.0736539363861084,0.0234481334686279,0.0117240667343139,4.999513149261475,2,40
4,4.601478576660156e-05,0.0606129169464111,0.0547432899475097,0.0199248552322387,0.0099624276161193,0.3157882690429687,2,40
8,3.933906555175781e-05,0.0240023136138916,0.0596261024475097,0.0199109077453613,0.0099554538726806,0.2834227085113525,2,40
16,3.9577484130859375e-05,0.0241289138793945,0.0583980083465576,0.0196994304656982,0.0098497152328491,0.2801826000213623,2,40
32,4.696846008300781e-05,0.0240681171417236,0.0583946704864501,0.0198273420333862,0.0099136710166931,0.281416654586792,2,40
48,4.649162292480469e-05,0.0240054130554199,0.0581772327423095,0.0196509361267089,0.0098254680633544,0.2793319225311279,2,40
2,3.218650817871094e-05,0.0238063335418701,0.0585753917694091,0.0297381877899169,0.0074345469474792,0.3803997039794922,4,40
4,3.24249267578125e-05,0.0239489078521728,0.0557222366333007,0.0293269872665405,0.0073317468166351,0.3735806941986084,4,40
8,3.62396240234375e-05,0.0239484310150146,0.053241491317749,0.0294882297515869,0.0073720574378967,0.3727233409881592,4,40
16,3.600120544433594e-05,0.0230848789215087,0.054183006286621,0.0293749570846557,0.0073437392711639,0.3716869354248047,4,40
32,5.292892456054688e-05,0.0232150554656982,0.0549867153167724,0.0295446872711181,0.0073861718177795,0.3743026256561279,4,40
48,4.434585571289063e-05,0.0238516330718994,0.0582256317138671,0.0295720100402832,0.0073930025100708,0.378441572189331,4,40
2,3.1948089599609375e-05,0.023827314376831,0.0538229942321777,0.0552630186080932,0.0069078773260116,0.6315329074859619,8,40
4,3.600120544433594e-05,0.0268266201019287,0.0535132884979248,0.0549917459487915,0.0068739682435989,0.6309196949005127,8,40
8,3.9577484130859375e-05,0.0240037441253662,0.0583972930908203,0.0549641132354736,0.0068705141544342,0.6327307224273682,8,40
16,3.719329833984375e-05,0.0240406990051269,0.0584111213684082,0.0549098968505859,0.0068637371063232,0.6321861743927002,8,40
32,4.148483276367188e-05,0.0239260196685791,0.0539054870605468,0.0549256086349487,0.0068657010793685,0.6277329921722412,8,40
48,4.434585571289063e-05,0.0238878726959228,0.0584332942962646,0.0548993587493896,0.0068624198436737,0.6319763660430908,8,40
2,3.361701965332031e-05,0.0236337184906005,0.0538229942321777,0.0525301396846771,0.0032831337302923,0.4983167648315429,16,40
4,3.4809112548828125e-05,0.023622989654541,0.0549733638763427,0.0524220466613769,0.003276377916336,0.4985861778259277,16,40
8,3.2901763916015625e-05,0.0240185260772705,0.0584466457366943,0.0524013638496398,0.0032750852406024,0.5023045539855957,16,40
16,3.361701965332031e-05,0.0234043598175048,0.0564024448394775,0.0526981949806213,0.0032936371862888,0.5022923946380615,16,40
32,5.602836608886719e-05,0.0236685276031494,0.0533819198608398,0.0524391233921051,0.0032774452120065,0.4972329139709472,16,40
48,4.792213439941406e-05,0.0240929126739501,0.0585825443267822,0.0523273348808288,0.0032704584300518,0.5019738674163818,16,40
2,3.218650817871094e-05,0.0242071151733398,0.0585713386535644,0.3054366111755371,0.0095448940992355,1.3051950931549072,32,40
4,3.4809112548828125e-05,0.024111270904541,0.0586302280426025,0.3041467666625976,0.0095045864582061,1.2999835014343262,32,40
8,3.62396240234375e-05,0.0240263938903808,0.0586695671081543,0.3030650019645691,0.0094707813113927,1.295619249343872,32,40
16,3.62396240234375e-05,0.024092674255371,0.0587272644042968,0.3065338730812073,0.0095791835337877,1.3101885318756104,32,40
32,4.911422729492188e-05,0.0247282981872558,0.0601859092712402,0.30446857213974,0.0095146428793668,1.303588628768921,32,40
48,4.887580871582031e-05,0.0244579315185546,0.0589845180511474,0.305523931980133,0.0095476228743791,1.306246995925903,32,40
2,3.528594970703125e-05,0.024200439453125,0.0584044456481933,0.2093065977096557,0.0032704155892133,0.5018696784973145,64,40
4,3.671646118164063e-05,0.0242533683776855,0.0605833530426025,0.2326835393905639,0.0036356803029775,0.5508575439453125,64,40
8,3.647804260253906e-05,0.0241546630859375,0.0606696605682373,0.2328805923461914,0.0036387592554092,0.5512182712554932,64,40
16,3.5762786865234375e-05,0.0239791870117187,0.0590221881866455,0.2323598861694336,0.0036306232213974,0.5483489036560059,64,40
32,4.172325134277344e-05,0.024052619934082,0.0589880943298339,0.2331819534301757,0.0036434680223464,0.5500485897064209,64,40
48,4.3392181396484375e-05,0.023987770080566406,0.05810999870300293,0.23280811309814453,0.0036376267671585083,0.5483627319335938,64,40
