Number of CPU,Check available CPU and limit,Load Model,Prepare data,Run Inference,Inference per Image,Total Time,Batch size,Number of SM
2,0.0001749992370605,5.849701166152954,7.29526424407959,0.2197431564331054,0.1098715782165527,16.671258687973022,2,72
4,3.5762786865234375e-05,5.766371250152588,1.1672768592834473,0.2228603363037109,0.1114301681518554,10.436784029006958,2,72
8,5.412101745605469e-05,5.745295286178589,0.9933078289031982,0.2224009037017822,0.1112004518508911,10.24190902709961,2,72
16,3.266334533691406e-05,5.62187123298645,1.3365414142608645,0.2228350639343261,0.111417531967163,10.462363481521606,2,72
32,5.698204040527344e-05,5.839501142501831,1.0619268417358398,0.2248225212097168,0.1124112606048584,10.426332712173462,2,72
48,4.601478576660156e-05,5.611133098602295,0.9907612800598145,0.2243850946426391,0.1121925473213195,10.119985103607178,2,72
2,0.0001418590545654,6.110138893127441,1.4866561889648438,0.3902606666088104,0.0975651666522026,13.21130633354187,4,72
4,3.409385681152344e-05,5.523957014083862,1.2843191623687744,0.3949120044708252,0.0987280011177063,12.44891881942749,4,72
8,3.409385681152344e-05,5.989307165145874,1.1818580627441406,0.3944503664970398,0.0986125916242599,12.817564487457275,4,72
16,3.8623809814453125e-05,5.8713226318359375,1.23494553565979,0.3951640427112579,0.0987910106778144,12.753901720046995,4,72
32,4.696846008300781e-05,5.875878572463989,1.3927505016326904,0.3936603367328644,0.0984150841832161,12.913779497146606,4,72
48,4.792213439941406e-05,5.753533601760864,1.6151273250579834,0.3944464921951294,0.0986116230487823,13.01886820793152,4,72
2,0.0001814365386962,5.9276344776153564,1.850167751312256,0.3256242871284485,0.040703035891056,14.055057525634766,8,72
4,3.457069396972656e-05,6.0401763916015625,1.828453779220581,0.3252769112586975,0.0406596139073371,14.129616022109984,8,72
8,3.337860107421875e-05,5.684293270111084,1.5812571048736572,0.3274403214454651,0.0409300401806831,13.5363450050354,8,72
16,3.695487976074219e-05,5.797302484512329,1.6481163501739502,0.3285253643989563,0.0410656705498695,13.736810684204102,8,72
32,8.630752563476562e-05,6.117922306060791,1.592789649963379,0.3278512954711914,0.0409814119338989,13.985775232315063,8,72
48,5.8650970458984375e-05,5.635630130767822,1.840582132339477,0.3298593163490295,0.0412324145436286,13.75550413131714,8,72
2,0.000115156173706,6.158122301101685,3.0525496006011963,0.0137115716934204,0.0008569732308387,16.76439070701599,16,72
